,Year,States,Sex,Count,topicdesc,measuredesc,response,data_value,age_group
8183,2016,Minnesota,Female,1371,E-Cigarette Use (Adults),Frequency of Use,Every Day,26.9,65+
8184,2016,Minnesota,Female,24,E-Cigarette Use (Adults),User Status,Never,83.3,25 to 44
8185,2016,Minnesota,Female,517,E-Cigarette Use (Adults),User Status,Never,83.3,45 to 64
8186,2016,Minnesota,Female,1371,E-Cigarette Use (Adults),User Status,Never,83.3,65+
8187,2016,Minnesota,Female,24,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,32.4,25 to 44
8188,2016,Minnesota,Female,517,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,32.4,45 to 64
8189,2016,Minnesota,Female,1371,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,32.4,65+
8190,2016,Minnesota,Male,22,Cigarette Use (Adults),Smoking Status,Former,29.3,25 to 44
8191,2016,Minnesota,Male,524,Cigarette Use (Adults),Smoking Status,Former,29.3,45 to 64
8192,2016,Minnesota,Male,1333,Cigarette Use (Adults),Smoking Status,Former,29.3,65+
8193,2016,Minnesota,Male,22,Cigarette Use (Adults),Smoking Frequency,Every Day,67.3,25 to 44
8194,2016,Minnesota,Male,524,Cigarette Use (Adults),Smoking Frequency,Every Day,67.3,45 to 64
8195,2016,Minnesota,Male,1333,Cigarette Use (Adults),Smoking Frequency,Every Day,67.3,65+
8196,2016,Minnesota,Male,22,E-Cigarette Use (Adults),User Status,Never,77.5,25 to 44
8197,2016,Minnesota,Male,524,E-Cigarette Use (Adults),User Status,Never,77.5,45 to 64
8198,2016,Minnesota,Male,1333,E-Cigarette Use (Adults),User Status,Never,77.5,65+
8199,2016,Minnesota,Male,22,Smokeless Tobacco Use (Adults),User Status,Not Current,92.2,25 to 44
8200,2016,Minnesota,Male,524,Smokeless Tobacco Use (Adults),User Status,Not Current,92.2,45 to 64
8201,2016,Minnesota,Male,1333,Smokeless Tobacco Use (Adults),User Status,Not Current,92.2,65+
8202,2016,Minnesota,Male,22,Cigarette Use (Adults),Smoking Frequency,Some Days,32.7,25 to 44
8203,2016,Minnesota,Male,524,Cigarette Use (Adults),Smoking Frequency,Some Days,32.7,45 to 64
8204,2016,Minnesota,Male,1333,Cigarette Use (Adults),Smoking Frequency,Some Days,32.7,65+
8205,2016,Minnesota,Male,22,Cigarette Use (Adults),Smoking Status,Current,16.6,25 to 44
8206,2016,Minnesota,Male,524,Cigarette Use (Adults),Smoking Status,Current,16.6,45 to 64
8207,2016,Minnesota,Male,1333,Cigarette Use (Adults),Smoking Status,Current,16.6,65+
8208,2016,Minnesota,Male,22,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.8,25 to 44
8209,2016,Minnesota,Male,524,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.8,45 to 64
8210,2016,Minnesota,Male,1333,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.8,65+
8211,2016,Minnesota,Male,22,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.5,25 to 44
8212,2016,Minnesota,Male,524,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.5,45 to 64
8213,2016,Minnesota,Male,1333,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.5,65+
8214,2016,Minnesota,Male,22,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.5,25 to 44
8215,2016,Minnesota,Male,524,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.5,45 to 64
8216,2016,Minnesota,Male,1333,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.5,65+
8217,2016,Minnesota,Male,22,Smokeless Tobacco Use (Adults),User Status,Current,7.8,25 to 44
8218,2016,Minnesota,Male,524,Smokeless Tobacco Use (Adults),User Status,Current,7.8,45 to 64
8219,2016,Minnesota,Male,1333,Smokeless Tobacco Use (Adults),User Status,Current,7.8,65+
8220,2016,Minnesota,Male,22,E-Cigarette Use (Adults),User Status,Current,4.8,25 to 44
8221,2016,Minnesota,Male,524,E-Cigarette Use (Adults),User Status,Current,4.8,45 to 64
8222,2016,Minnesota,Male,1333,E-Cigarette Use (Adults),User Status,Current,4.8,65+
8223,2016,Minnesota,Male,22,E-Cigarette Use (Adults),User Status,Former,17.7,25 to 44
8224,2016,Minnesota,Male,524,E-Cigarette Use (Adults),User Status,Former,17.7,45 to 64
8225,2016,Minnesota,Male,1333,E-Cigarette Use (Adults),User Status,Former,17.7,65+
8226,2016,Minnesota,Male,22,Cigarette Use (Adults),Smoking Status,Never,54.2,25 to 44
8227,2016,Minnesota,Male,524,Cigarette Use (Adults),Smoking Status,Never,54.2,45 to 64
8228,2016,Minnesota,Male,1333,Cigarette Use (Adults),Smoking Status,Never,54.2,65+
8229,2016,Minnesota,Male,22,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.2,25 to 44
8230,2016,Minnesota,Male,524,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.2,45 to 64
8231,2016,Minnesota,Male,1333,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.2,65+
8232,2015,Minnesota,Female,18,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,37.2,25 to 44
8233,2015,Minnesota,Female,583,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,37.2,45 to 64
8234,2015,Minnesota,Female,1297,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,37.2,65+
8235,2015,Minnesota,Female,18,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,62.8,25 to 44
8236,2015,Minnesota,Female,583,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,62.8,45 to 64
8237,2015,Minnesota,Female,1297,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,62.8,65+
8238,2015,Minnesota,Female,18,Cigarette Use (Adults),Smoking Frequency,Every Day,68.8,25 to 44
8239,2015,Minnesota,Female,583,Cigarette Use (Adults),Smoking Frequency,Every Day,68.8,45 to 64
8240,2015,Minnesota,Female,1297,Cigarette Use (Adults),Smoking Frequency,Every Day,68.8,65+
8241,2015,Minnesota,Female,18,Cigarette Use (Adults),Smoking Status,Never,61.2,25 to 44
8242,2015,Minnesota,Female,583,Cigarette Use (Adults),Smoking Status,Never,61.2,45 to 64
8243,2015,Minnesota,Female,1297,Cigarette Use (Adults),Smoking Status,Never,61.2,65+
8244,2015,Minnesota,Female,18,Cigarette Use (Adults),Smoking Status,Former,24.0,25 to 44
8245,2015,Minnesota,Female,583,Cigarette Use (Adults),Smoking Status,Former,24.0,45 to 64
8246,2015,Minnesota,Female,1297,Cigarette Use (Adults),Smoking Status,Former,24.0,65+
8247,2015,Minnesota,Female,18,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,25 to 44
8248,2015,Minnesota,Female,583,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,45 to 64
8249,2015,Minnesota,Female,1297,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,65+
8250,2015,Minnesota,Female,18,Cigarette Use (Adults),Smoking Status,Current,14.8,25 to 44
8251,2015,Minnesota,Female,583,Cigarette Use (Adults),Smoking Status,Current,14.8,45 to 64
8252,2015,Minnesota,Female,1297,Cigarette Use (Adults),Smoking Status,Current,14.8,65+
8253,2015,Minnesota,Female,18,Cigarette Use (Adults),Smoking Frequency,Some Days,31.2,25 to 44
8254,2015,Minnesota,Female,583,Cigarette Use (Adults),Smoking Frequency,Some Days,31.2,45 to 64
8255,2015,Minnesota,Female,1297,Cigarette Use (Adults),Smoking Frequency,Some Days,31.2,65+
8256,2015,Minnesota,Female,18,Smokeless Tobacco Use (Adults),User Status,Current,0.9,25 to 44
8257,2015,Minnesota,Female,583,Smokeless Tobacco Use (Adults),User Status,Current,0.9,45 to 64
8258,2015,Minnesota,Female,1297,Smokeless Tobacco Use (Adults),User Status,Current,0.9,65+
8259,2015,Minnesota,Male,18,Cigarette Use (Adults),Smoking Status,Never,53.0,25 to 44
8260,2015,Minnesota,Male,581,Cigarette Use (Adults),Smoking Status,Never,53.0,45 to 64
8261,2015,Minnesota,Male,1300,Cigarette Use (Adults),Smoking Status,Never,53.0,65+
8262,2015,Minnesota,Male,18,Cigarette Use (Adults),Smoking Frequency,Some Days,30.1,25 to 44
8263,2015,Minnesota,Male,581,Cigarette Use (Adults),Smoking Frequency,Some Days,30.1,45 to 64
8264,2015,Minnesota,Male,1300,Cigarette Use (Adults),Smoking Frequency,Some Days,30.1,65+
8265,2015,Minnesota,Male,18,Cigarette Use (Adults),Smoking Status,Former,29.4,25 to 44
8266,2015,Minnesota,Male,581,Cigarette Use (Adults),Smoking Status,Former,29.4,45 to 64
8267,2015,Minnesota,Male,1300,Cigarette Use (Adults),Smoking Status,Former,29.4,65+
8268,2015,Minnesota,Male,18,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,40.3,25 to 44
8269,2015,Minnesota,Male,581,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,40.3,45 to 64
8270,2015,Minnesota,Male,1300,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,40.3,65+
8271,2015,Minnesota,Male,18,Smokeless Tobacco Use (Adults),User Status,Current,7.3,25 to 44
8272,2015,Minnesota,Male,581,Smokeless Tobacco Use (Adults),User Status,Current,7.3,45 to 64
8273,2015,Minnesota,Male,1300,Smokeless Tobacco Use (Adults),User Status,Current,7.3,65+
8274,2015,Minnesota,Male,18,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,59.7,25 to 44
8275,2015,Minnesota,Male,581,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,59.7,45 to 64
8276,2015,Minnesota,Male,1300,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,59.7,65+
8277,2015,Minnesota,Male,18,Cigarette Use (Adults),Smoking Frequency,Every Day,69.9,25 to 44
8278,2015,Minnesota,Male,581,Cigarette Use (Adults),Smoking Frequency,Every Day,69.9,45 to 64
8279,2015,Minnesota,Male,1300,Cigarette Use (Adults),Smoking Frequency,Every Day,69.9,65+
8280,2015,Minnesota,Male,18,Smokeless Tobacco Use (Adults),User Status,Not Current,92.7,25 to 44
8281,2015,Minnesota,Male,581,Smokeless Tobacco Use (Adults),User Status,Not Current,92.7,45 to 64
8282,2015,Minnesota,Male,1300,Smokeless Tobacco Use (Adults),User Status,Not Current,92.7,65+
8283,2015,Minnesota,Male,18,Cigarette Use (Adults),Smoking Status,Current,17.6,25 to 44
8284,2015,Minnesota,Male,581,Cigarette Use (Adults),Smoking Status,Current,17.6,45 to 64
8285,2015,Minnesota,Male,1300,Cigarette Use (Adults),Smoking Status,Current,17.6,65+
8286,2014,Minnesota,Female,0,Cigarette Use (Adults),Smoking Frequency,Every Day,69.8,25 to 44
8287,2014,Minnesota,Female,502,Cigarette Use (Adults),Smoking Frequency,Every Day,69.8,45 to 64
8288,2014,Minnesota,Female,1170,Cigarette Use (Adults),Smoking Frequency,Every Day,69.8,65+
8289,2014,Minnesota,Female,0,Smokeless Tobacco Use (Adults),User Status,Current,0.9,25 to 44
8290,2014,Minnesota,Female,502,Smokeless Tobacco Use (Adults),User Status,Current,0.9,45 to 64
8291,2014,Minnesota,Female,1170,Smokeless Tobacco Use (Adults),User Status,Current,0.9,65+
8292,2014,Minnesota,Female,0,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,25 to 44
8293,2014,Minnesota,Female,502,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,45 to 64
8294,2014,Minnesota,Female,1170,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,65+
8295,2014,Minnesota,Female,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,73.8,25 to 44
8296,2014,Minnesota,Female,502,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,73.8,45 to 64
8297,2014,Minnesota,Female,1170,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,73.8,65+
8298,2014,Minnesota,Female,0,Cigarette Use (Adults),Smoking Status,Never,61.5,25 to 44
8299,2014,Minnesota,Female,502,Cigarette Use (Adults),Smoking Status,Never,61.5,45 to 64
8300,2014,Minnesota,Female,1170,Cigarette Use (Adults),Smoking Status,Never,61.5,65+
8301,2014,Minnesota,Female,0,Cigarette Use (Adults),Smoking Status,Current,14.8,25 to 44
8302,2014,Minnesota,Female,502,Cigarette Use (Adults),Smoking Status,Current,14.8,45 to 64
8303,2014,Minnesota,Female,1170,Cigarette Use (Adults),Smoking Status,Current,14.8,65+
8304,2014,Minnesota,Female,0,Cigarette Use (Adults),Smoking Status,Former,23.7,25 to 44
8305,2014,Minnesota,Female,502,Cigarette Use (Adults),Smoking Status,Former,23.7,45 to 64
8306,2014,Minnesota,Female,1170,Cigarette Use (Adults),Smoking Status,Former,23.7,65+
8307,2014,Minnesota,Female,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,26.2,25 to 44
8308,2014,Minnesota,Female,502,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,26.2,45 to 64
8309,2014,Minnesota,Female,1170,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,26.2,65+
8310,2014,Minnesota,Female,0,Cigarette Use (Adults),Smoking Frequency,Some Days,30.2,25 to 44
8311,2014,Minnesota,Female,502,Cigarette Use (Adults),Smoking Frequency,Some Days,30.2,45 to 64
8312,2014,Minnesota,Female,1170,Cigarette Use (Adults),Smoking Frequency,Some Days,30.2,65+
8313,2014,Minnesota,Male,16,Cigarette Use (Adults),Smoking Status,Current,17.9,25 to 44
8314,2014,Minnesota,Male,505,Cigarette Use (Adults),Smoking Status,Current,17.9,45 to 64
8315,2014,Minnesota,Male,1180,Cigarette Use (Adults),Smoking Status,Current,17.9,65+
8316,2014,Minnesota,Male,16,Cigarette Use (Adults),Smoking Frequency,Some Days,29.5,25 to 44
8317,2014,Minnesota,Male,505,Cigarette Use (Adults),Smoking Frequency,Some Days,29.5,45 to 64
8318,2014,Minnesota,Male,1180,Cigarette Use (Adults),Smoking Frequency,Some Days,29.5,65+
8319,2014,Minnesota,Male,16,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,54.0,25 to 44
8320,2014,Minnesota,Male,505,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,54.0,45 to 64
8321,2014,Minnesota,Male,1180,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,54.0,65+
8322,2014,Minnesota,Male,16,Smokeless Tobacco Use (Adults),User Status,Not Current,92.8,25 to 44
8323,2014,Minnesota,Male,505,Smokeless Tobacco Use (Adults),User Status,Not Current,92.8,45 to 64
8324,2014,Minnesota,Male,1180,Smokeless Tobacco Use (Adults),User Status,Not Current,92.8,65+
8325,2014,Minnesota,Male,16,Cigarette Use (Adults),Smoking Frequency,Every Day,70.5,25 to 44
8326,2014,Minnesota,Male,505,Cigarette Use (Adults),Smoking Frequency,Every Day,70.5,45 to 64
8327,2014,Minnesota,Male,1180,Cigarette Use (Adults),Smoking Frequency,Every Day,70.5,65+
8328,2014,Minnesota,Male,16,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,46.0,25 to 44
8329,2014,Minnesota,Male,505,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,46.0,45 to 64
8330,2014,Minnesota,Male,1180,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,46.0,65+
8331,2014,Minnesota,Male,16,Smokeless Tobacco Use (Adults),User Status,Current,7.2,25 to 44
8332,2014,Minnesota,Male,505,Smokeless Tobacco Use (Adults),User Status,Current,7.2,45 to 64
8333,2014,Minnesota,Male,1180,Smokeless Tobacco Use (Adults),User Status,Current,7.2,65+
8334,2014,Minnesota,Male,16,Cigarette Use (Adults),Smoking Status,Never,52.4,25 to 44
8335,2014,Minnesota,Male,505,Cigarette Use (Adults),Smoking Status,Never,52.4,45 to 64
8336,2014,Minnesota,Male,1180,Cigarette Use (Adults),Smoking Status,Never,52.4,65+
8337,2014,Minnesota,Male,16,Cigarette Use (Adults),Smoking Status,Former,29.7,25 to 44
8338,2014,Minnesota,Male,505,Cigarette Use (Adults),Smoking Status,Former,29.7,45 to 64
8339,2014,Minnesota,Male,1180,Cigarette Use (Adults),Smoking Status,Former,29.7,65+
8340,2018,Mississippi,Female,17,Cigarette Use (Adults),Smoking Status,Current,18.1,25 to 44
8341,2018,Mississippi,Female,384,Cigarette Use (Adults),Smoking Status,Current,18.1,45 to 64
8342,2018,Mississippi,Female,741,Cigarette Use (Adults),Smoking Status,Current,18.1,65+
8343,2018,Mississippi,Female,17,E-Cigarette Use (Adults),User Status,Former,18.6,25 to 44
8344,2018,Mississippi,Female,384,E-Cigarette Use (Adults),User Status,Former,18.6,45 to 64
8345,2018,Mississippi,Female,741,E-Cigarette Use (Adults),User Status,Former,18.6,65+
8346,2018,Mississippi,Female,17,Cigarette Use (Adults),Smoking Frequency,Some Days,29.3,25 to 44
8347,2018,Mississippi,Female,384,Cigarette Use (Adults),Smoking Frequency,Some Days,29.3,45 to 64
8348,2018,Mississippi,Female,741,Cigarette Use (Adults),Smoking Frequency,Some Days,29.3,65+
8349,2018,Mississippi,Female,17,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,39.7,25 to 44
8350,2018,Mississippi,Female,384,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,39.7,45 to 64
8351,2018,Mississippi,Female,741,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,39.7,65+
8352,2018,Mississippi,Female,17,E-Cigarette Use (Adults),User Status,Never,77.0,25 to 44
8353,2018,Mississippi,Female,384,E-Cigarette Use (Adults),User Status,Never,77.0,45 to 64
8354,2018,Mississippi,Female,741,E-Cigarette Use (Adults),User Status,Never,77.0,65+
8355,2018,Mississippi,Female,17,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,25 to 44
8356,2018,Mississippi,Female,384,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,45 to 64
8357,2018,Mississippi,Female,741,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,65+
8358,2018,Mississippi,Female,17,Cigarette Use (Adults),Smoking Status,Never,64.2,25 to 44
8359,2018,Mississippi,Female,384,Cigarette Use (Adults),Smoking Status,Never,64.2,45 to 64
8360,2018,Mississippi,Female,741,Cigarette Use (Adults),Smoking Status,Never,64.2,65+
8361,2018,Mississippi,Female,17,E-Cigarette Use (Adults),Frequency of Use,Every Day,25.9,25 to 44
8362,2018,Mississippi,Female,384,E-Cigarette Use (Adults),Frequency of Use,Every Day,25.9,45 to 64
8363,2018,Mississippi,Female,741,E-Cigarette Use (Adults),Frequency of Use,Every Day,25.9,65+
8364,2018,Mississippi,Female,17,E-Cigarette Use (Adults),User Status,Current,4.3,25 to 44
8365,2018,Mississippi,Female,384,E-Cigarette Use (Adults),User Status,Current,4.3,45 to 64
8366,2018,Mississippi,Female,741,E-Cigarette Use (Adults),User Status,Current,4.3,65+
8367,2018,Mississippi,Female,17,Cigarette Use (Adults),Smoking Status,Former,17.7,25 to 44
8368,2018,Mississippi,Female,384,Cigarette Use (Adults),Smoking Status,Former,17.7,45 to 64
8369,2018,Mississippi,Female,741,Cigarette Use (Adults),Smoking Status,Former,17.7,65+
8370,2018,Mississippi,Female,17,Smokeless Tobacco Use (Adults),User Status,Current,1.5,25 to 44
8371,2018,Mississippi,Female,384,Smokeless Tobacco Use (Adults),User Status,Current,1.5,45 to 64
8372,2018,Mississippi,Female,741,Smokeless Tobacco Use (Adults),User Status,Current,1.5,65+
8373,2018,Mississippi,Female,17,E-Cigarette Use (Adults),Frequency of Use,Some Days,74.1,25 to 44
8374,2018,Mississippi,Female,384,E-Cigarette Use (Adults),Frequency of Use,Some Days,74.1,45 to 64
8375,2018,Mississippi,Female,741,E-Cigarette Use (Adults),Frequency of Use,Some Days,74.1,65+
8376,2018,Mississippi,Female,17,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,60.3,25 to 44
8377,2018,Mississippi,Female,384,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,60.3,45 to 64
8378,2018,Mississippi,Female,741,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,60.3,65+
8379,2018,Mississippi,Female,17,Cigarette Use (Adults),Smoking Frequency,Every Day,70.7,25 to 44
8380,2018,Mississippi,Female,384,Cigarette Use (Adults),Smoking Frequency,Every Day,70.7,45 to 64
8381,2018,Mississippi,Female,741,Cigarette Use (Adults),Smoking Frequency,Every Day,70.7,65+
8382,2018,Mississippi,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,31.2,25 to 44
8383,2018,Mississippi,Male,497,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,31.2,45 to 64
8384,2018,Mississippi,Male,1022,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,31.2,65+
8385,2018,Mississippi,Male,0,Cigarette Use (Adults),Smoking Status,Never,49.6,25 to 44
8386,2018,Mississippi,Male,497,Cigarette Use (Adults),Smoking Status,Never,49.6,45 to 64
8387,2018,Mississippi,Male,1022,Cigarette Use (Adults),Smoking Status,Never,49.6,65+
8388,2018,Mississippi,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,68.8,25 to 44
8389,2018,Mississippi,Male,497,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,68.8,45 to 64
8390,2018,Mississippi,Male,1022,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,68.8,65+
8391,2018,Mississippi,Male,0,Cigarette Use (Adults),Smoking Frequency,Every Day,74.5,25 to 44
8392,2018,Mississippi,Male,497,Cigarette Use (Adults),Smoking Frequency,Every Day,74.5,45 to 64
8393,2018,Mississippi,Male,1022,Cigarette Use (Adults),Smoking Frequency,Every Day,74.5,65+
8394,2018,Mississippi,Male,0,E-Cigarette Use (Adults),User Status,Current,7.1,25 to 44
8395,2018,Mississippi,Male,497,E-Cigarette Use (Adults),User Status,Current,7.1,45 to 64
8396,2018,Mississippi,Male,1022,E-Cigarette Use (Adults),User Status,Current,7.1,65+
8397,2018,Mississippi,Male,0,Smokeless Tobacco Use (Adults),User Status,Not Current,86.1,25 to 44
8398,2018,Mississippi,Male,497,Smokeless Tobacco Use (Adults),User Status,Not Current,86.1,45 to 64
8399,2018,Mississippi,Male,1022,Smokeless Tobacco Use (Adults),User Status,Not Current,86.1,65+
8400,2018,Mississippi,Male,0,E-Cigarette Use (Adults),User Status,Never,72.8,25 to 44
8401,2018,Mississippi,Male,497,E-Cigarette Use (Adults),User Status,Never,72.8,45 to 64
8402,2018,Mississippi,Male,1022,E-Cigarette Use (Adults),User Status,Never,72.8,65+
8403,2018,Mississippi,Male,0,Cigarette Use (Adults),Smoking Frequency,Some Days,25.5,25 to 44
8404,2018,Mississippi,Male,497,Cigarette Use (Adults),Smoking Frequency,Some Days,25.5,45 to 64
8405,2018,Mississippi,Male,1022,Cigarette Use (Adults),Smoking Frequency,Some Days,25.5,65+
8406,2018,Mississippi,Male,0,Smokeless Tobacco Use (Adults),User Status,Current,13.9,25 to 44
8407,2018,Mississippi,Male,497,Smokeless Tobacco Use (Adults),User Status,Current,13.9,45 to 64
8408,2018,Mississippi,Male,1022,Smokeless Tobacco Use (Adults),User Status,Current,13.9,65+
8409,2018,Mississippi,Male,0,Cigarette Use (Adults),Smoking Status,Former,27.2,25 to 44
8410,2018,Mississippi,Male,497,Cigarette Use (Adults),Smoking Status,Former,27.2,45 to 64
8411,2018,Mississippi,Male,1022,Cigarette Use (Adults),Smoking Status,Former,27.2,65+
8412,2018,Mississippi,Male,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,51.0,25 to 44
8413,2018,Mississippi,Male,497,E-Cigarette Use (Adults),Frequency of Use,Every Day,51.0,45 to 64
8414,2018,Mississippi,Male,1022,E-Cigarette Use (Adults),Frequency of Use,Every Day,51.0,65+
8415,2018,Mississippi,Male,0,Cigarette Use (Adults),Smoking Status,Current,23.2,25 to 44
8416,2018,Mississippi,Male,497,Cigarette Use (Adults),Smoking Status,Current,23.2,45 to 64
8417,2018,Mississippi,Male,1022,Cigarette Use (Adults),Smoking Status,Current,23.2,65+
8418,2018,Mississippi,Male,0,E-Cigarette Use (Adults),User Status,Former,20.1,25 to 44
8419,2018,Mississippi,Male,497,E-Cigarette Use (Adults),User Status,Former,20.1,45 to 64
8420,2018,Mississippi,Male,1022,E-Cigarette Use (Adults),User Status,Former,20.1,65+
8421,2018,Mississippi,Male,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,49.0,25 to 44
8422,2018,Mississippi,Male,497,E-Cigarette Use (Adults),Frequency of Use,Some Days,49.0,45 to 64
8423,2018,Mississippi,Male,1022,E-Cigarette Use (Adults),Frequency of Use,Some Days,49.0,65+
8424,2017,Mississippi,Male,0,Cigarette Use (Adults),Smoking Frequency,Some Days,23.7,25 to 44
8425,2017,Mississippi,Male,481,Cigarette Use (Adults),Smoking Frequency,Some Days,23.7,45 to 64
8426,2017,Mississippi,Male,1008,Cigarette Use (Adults),Smoking Frequency,Some Days,23.7,65+
8427,2017,Mississippi,Male,0,Cigarette Use (Adults),Smoking Status,Current,22.2,25 to 44
8428,2017,Mississippi,Male,481,Cigarette Use (Adults),Smoking Status,Current,22.2,45 to 64
8429,2017,Mississippi,Male,1008,Cigarette Use (Adults),Smoking Status,Current,22.2,65+
8430,2017,Mississippi,Male,0,E-Cigarette Use (Adults),User Status,Never,75.7,25 to 44
8431,2017,Mississippi,Male,481,E-Cigarette Use (Adults),User Status,Never,75.7,45 to 64
8432,2017,Mississippi,Male,1008,E-Cigarette Use (Adults),User Status,Never,75.7,65+
8433,2017,Mississippi,Male,0,Smokeless Tobacco Use (Adults),User Status,Current,12.7,25 to 44
8434,2017,Mississippi,Male,481,Smokeless Tobacco Use (Adults),User Status,Current,12.7,45 to 64
8435,2017,Mississippi,Male,1008,Smokeless Tobacco Use (Adults),User Status,Current,12.7,65+
8436,2017,Mississippi,Male,0,E-Cigarette Use (Adults),User Status,Former,18.3,25 to 44
8437,2017,Mississippi,Male,481,E-Cigarette Use (Adults),User Status,Former,18.3,45 to 64
8438,2017,Mississippi,Male,1008,E-Cigarette Use (Adults),User Status,Former,18.3,65+
8439,2017,Mississippi,Male,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,37.3,25 to 44
8440,2017,Mississippi,Male,481,E-Cigarette Use (Adults),Frequency of Use,Every Day,37.3,45 to 64
8441,2017,Mississippi,Male,1008,E-Cigarette Use (Adults),Frequency of Use,Every Day,37.3,65+
8442,2017,Mississippi,Male,0,Smokeless Tobacco Use (Adults),User Status,Not Current,87.3,25 to 44
8443,2017,Mississippi,Male,481,Smokeless Tobacco Use (Adults),User Status,Not Current,87.3,45 to 64
8444,2017,Mississippi,Male,1008,Smokeless Tobacco Use (Adults),User Status,Not Current,87.3,65+
8445,2017,Mississippi,Male,0,Cigarette Use (Adults),Smoking Status,Former,27.5,25 to 44
8446,2017,Mississippi,Male,481,Cigarette Use (Adults),Smoking Status,Former,27.5,45 to 64
8447,2017,Mississippi,Male,1008,Cigarette Use (Adults),Smoking Status,Former,27.5,65+
8448,2017,Mississippi,Male,0,E-Cigarette Use (Adults),User Status,Current,6.0,25 to 44
8449,2017,Mississippi,Male,481,E-Cigarette Use (Adults),User Status,Current,6.0,45 to 64
8450,2017,Mississippi,Male,1008,E-Cigarette Use (Adults),User Status,Current,6.0,65+
8451,2017,Mississippi,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,50.1,25 to 44
8452,2017,Mississippi,Male,481,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,50.1,45 to 64
8453,2017,Mississippi,Male,1008,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,50.1,65+
8454,2017,Mississippi,Male,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,62.7,25 to 44
